time,cloudBaseAvg,cloudBaseMax,cloudBaseMin,cloudCeilingAvg,cloudCeilingMax,cloudCeilingMin,cloudCoverAvg,cloudCoverMax,cloudCoverMin,dewPointAvg,dewPointMax,dewPointMin,evapotranspirationAvg,evapotranspirationMax,evapotranspirationMin,evapotranspirationSum,freezingRainIntensityAvg,freezingRainIntensityMax,freezingRainIntensityMin,humidityAvg,humidityMax,humidityMin,iceAccumulationAvg,iceAccumulationLweAvg,iceAccumulationLweMax,iceAccumulationLweMin,iceAccumulationLweSum,iceAccumulationMax,iceAccumulationMin,iceAccumulationSum,moonriseTime,moonsetTime,precipitationProbabilityAvg,precipitationProbabilityMax,precipitationProbabilityMin,pressureSurfaceLevelAvg,pressureSurfaceLevelMax,pressureSurfaceLevelMin,rainAccumulationAvg,rainAccumulationLweAvg,rainAccumulationLweMax,rainAccumulationLweMin,rainAccumulationMax,rainAccumulationMin,rainAccumulationSum,rainIntensityAvg,rainIntensityMax,rainIntensityMin,sleetAccumulationAvg,sleetAccumulationLweAvg,sleetAccumulationLweMax,sleetAccumulationLweMin,sleetAccumulationLweSum,sleetAccumulationMax,sleetAccumulationMin,sleetIntensityAvg,sleetIntensityMax,sleetIntensityMin,snowAccumulationAvg,snowAccumulationLweAvg,snowAccumulationLweMax,snowAccumulationLweMin,snowAccumulationLweSum,snowAccumulationMax,snowAccumulationMin,snowAccumulationSum,snowDepthAvg,snowDepthMax,snowDepthMin,snowDepthSum,snowIntensityAvg,snowIntensityMax,snowIntensityMin,sunriseTime,sunsetTime,temperatureApparentAvg,temperatureApparentMax,temperatureApparentMin,temperatureAvg,temperatureMax,temperatureMin,uvHealthConcernAvg,uvHealthConcernMax,uvHealthConcernMin,uvIndexAvg,uvIndexMax,uvIndexMin,visibilityAvg,visibilityMax,visibilityMin,weatherCodeMax,weatherCodeMin,windDirectionAvg,windGustAvg,windGustMax,windGustMin,windSpeedAvg,windSpeedMax,windSpeedMin
2024-02-21T12:00:00Z,0.27,0.85,0,0.22,0.57,0,67.61,100,0,16,17.38,14.31,0.138,0.48,0.01,3.182,0,0,0,80.3,93,60,0,0,0,0,0,0,0,0,2024-02-21T21:58:32Z,2024-02-21T11:45:24Z,0,0,0,996.67,1002.62,992.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-21T13:05:00Z,2024-02-22T00:24:00Z,19.61,24.38,16.81,19.61,24.38,16.81,0,2,0,1,6,0,15.12,16,12.75,1001,1001,182.61,11.27,15.5,8.88,4.58,6.63,2.69
2024-02-22T12:00:00Z,0.25,0.57,0,0.25,0.57,0,65.57,100,0,16.25,17.5,12.69,0.23,0.57,0.026,1.607,0,0,0,73.86,90,38,0,0,0,0,0,0,0,0,2024-02-22T22:56:51Z,2024-02-22T12:23:25Z,0,0,0,992.67,994.12,990.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-22T13:04:00Z,2024-02-23T00:24:00Z,21.68,27.69,18.31,21.75,28.19,18.31,1,2,0,3,6,0,15.61,16,14.38,1001,1001,226.95,6.96,8.63,5.38,3.29,4,2.31
